,Name,Variant,Transmission,km_driven,Owner_Type,Fuel,Price,Age
82,Renault Kwid,1.0 RXT Opt AT,Automatic,35187,1st Owner,Petrol,500799,1
84,Maruti Alto,LXI,Manual,55163,1st Owner,Petrol,188099,12
85,Honda City,SV MT PETROL,Manual,20567,2nd Owner,Petrol,599249,8
86,Maruti Alto,LXI OPT,Manual,2229,1st Owner,Petrol,428399,1
87,Honda City,V MT PETROL,Manual,68366,1st Owner,Petrol,815699,4
88,Hyundai VENUE,S MT 1.2 KAPPA,Manual,15263,1st Owner,Petrol,834099,1
89,Hyundai i10,MAGNA 1.1 IRDE2,Manual,72272,2nd Owner,Petrol,330899,7
90,Datsun Redi,A,Manual,27411,1st Owner,Petrol,328049,3
91,Jeep Compass,2.0 LONGITUDE,Manual,72575,1st Owner,Diesel,1204299,4
92,Honda Amaze,1.2 S (O) MT I VTEC,Manual,58093,2nd Owner,Petrol,506299,4
93,Tata NEXON,XMA 1.2,Automatic,28467,1st Owner,Petrol,787499,3
94,Honda City,V MT PETROL,Manual,4216,1st Owner,Petrol,1096749,2
95,Maruti Baleno,SIGMA 1.2 K12,Manual,36041,1st Owner,Petrol,551299,2
96,Maruti Dzire,VXI,Manual,18949,1st Owner,Petrol,631299,5
97,Maruti Vitara,VDI OPT,Manual,28496,2nd Owner,Diesel,647599,5
98,Honda Amaze,1.5 VXMT I DTEC,Manual,52220,1st Owner,Diesel,692849,4
99,Honda Amaze,1.2 V CVT I VTEC,Automatic,13291,2nd Owner,Petrol,788399,3
100,Maruti New,1.0 Lxi (o) cng,Manual,34542,1st Owner,Petrol + CNG,683199,1
101,Tata Tiago,XZA 1.2 REVOTRON,Automatic,13291,1st Owner,Petrol,534099,3
102,Maruti Celerio,VXI AMT,Automatic,10515,1st Owner,Petrol,574699,2
103,Honda City,S MT PETROL,Manual,52035,1st Owner,Petrol,372999,11
104,Renault Kwid,1.0 RXT Opt,Manual,50466,1st Owner,Petrol,414699,3
105,Honda City,VX MT PETROL,Manual,6873,1st Owner,Petrol,1284799,2
106,Renault Kwid,RXL,Manual,19927,1st Owner,Petrol,354799,4
107,Maruti New,ZXI 1.2,Manual,10777,1st Owner,Petrol,608599,2
108,Maruti Vitara,ZDI PLUS DUAL TONE,Manual,38072,1st Owner,Diesel,788599,5
109,Maruti Wagon,VXI AMT,Automatic,15854,1st Owner,Petrol,510899,4
110,Renault Kwid,1.0 RXL,Manual,42535,1st Owner,Petrol,332399,4
111,Hyundai Grand,SPORTZ 1.2 KAPPA VTVT,Manual,19575,1st Owner,Petrol,485599,6
112,Tata Tiago,XE 1.2 REVOTRON,Manual,14201,1st Owner,Petrol,460599,3
113,Honda City,S MT PETROL,Manual,39565,1st Owner,Petrol,391699,12
114,Renault Kwid,1.0 RXT Opt,Manual,31621,1st Owner,Petrol,420299,3
115,MG HECTOR,SHARP DCT PETROL,Automatic,12283,1st Owner,Petrol,1665399,3
116,Tata Tiago,XTA 1.2 PETROL,Automatic,6990,1st Owner,Petrol,684599,1
117,Maruti Baleno,DELTA 1.2 K12 AT,Automatic,26314,2nd Owner,Petrol,527799,6
118,Mahindra XUV,1.5 W6 MT,Manual,23806,1st Owner,Diesel,917399,3
119,Maruti Alto,LXI,Manual,2303,1st Owner,Petrol,384399,1
120,Maruti Swift,VDI ABS,Manual,46245,1st Owner,Diesel,432499,7
121,Maruti Swift,VXI AMT,Automatic,34110,1st Owner,Petrol,626699,4
122,Renault Kwid,RXL,Manual,55187,2nd Owner,Petrol,321799,4
123,Tata ALTROZ,XZ 1.2,Manual,9734,1st Owner,Petrol,822499,0
124,Hyundai Verna,FLUIDIC 1.6 VTVT SX AT,Automatic,13728,2nd Owner,Petrol,713499,6
125,Tata ALTROZ,XZ 1.2,Manual,10789,1st Owner,Petrol,804899,1
126,Mahindra Thar,LX  4WD AT CONVERTIBLE,Automatic,4222,1st Owner,Petrol,1696099,1
127,Maruti Alto,VXI,Manual,13818,2nd Owner,Petrol,391299,3
128,Maruti Baleno,DELTA 1.2 K12,Manual,24539,1st Owner,Petrol,671599,3
129,Jeep Compass,2.0 LIMITED,Manual,55714,1st Owner,Diesel,1261299,4
130,Renault TRIBER,1.0 RXZ,Manual,1599,1st Owner,Petrol,786899,1
131,Hyundai Grand,SPORTZ (O) 1.2 AT VTVT,Automatic,16636,1st Owner,Petrol,586499,5
132,Ford Figo,1.2 TITANIUM PETROL,Manual,33815,1st Owner,Petrol,568299,4
