Title,cvakb,cvakb1,bvr0c,bvr0c2,bvr0c3,_7udzz,,,,,,
2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,"19,575 km",1st Owner,Petrol,"?4,85,599",,,,,,
2019 Tata Tiago,XE 1.2 REVOTRON Manual,Manual,"14,201 km",1st Owner,Petrol,"?4,60,599",,,,,,
2010 Honda City,S MT PETROL Manual,Manual,"39,565 km",1st Owner,Petrol,"?3,91,699",,,,,,
2019 Renault Kwid,1.0 RXT Opt Manual,Manual,"31,621 km",1st Owner,Petrol,"?4,20,299",,,,,,
2019 MG HECTOR,SHARP DCT PETROL Automatic,Automatic,"12,283 km",1st Owner,Petrol,"?16,65,399",,,,,,
2021 Tata Tiago,XTA 1.2 PETROL Automatic,Automatic,"6,990 km",1st Owner,Petrol,"?6,84,599",,,,,,
2016 Maruti Baleno,DELTA 1.2 K12 AT Automatic,Automatic,"26,314 km",2nd Owner,Petrol,"?5,27,799",,,,,,
2019 Mahindra XUV 3OO,1.5 W6 MT Manual,Manual,"23,806 km",1st Owner,Diesel,"?9,17,399",,,,,,
2021 Maruti Alto,LXI Manual,Manual,"2,303 km",1st Owner,Petrol,"?3,84,399",,,,,,
2015 Maruti Swift,VDI ABS Manual,Manual,"46,245 km",1st Owner,Diesel,"?4,32,499",,,,,,
2018 Maruti Swift,VXI AMT Automatic,Automatic,"34,110 km",1st Owner,Petrol,"?6,26,699",,,,,,
2018 Renault Kwid,RXL Manual,Manual,"55,187 km",2nd Owner,Petrol,"?3,21,799",,,,,,
2022 Tata ALTROZ,XZ 1.2 Manual,Manual,"9,734 km",1st Owner,Petrol,"?8,22,499",,,,,,
2016 Hyundai Verna,FLUIDIC 1.6 VTVT SX AT Automatic,Automatic,"13,728 km",2nd Owner,Petrol,"?7,13,499",,,,,,
2021 Tata ALTROZ,XZ 1.2 Manual,Manual,"10,789 km",1st Owner,Petrol,"?8,04,899",,,,,,
2021 Mahindra Thar,LX  4WD AT CONVERTIBLE Automatic,Automatic,"4,222 km",1st Owner,Petrol,"?16,96,099",,,,,,
2019 Maruti Alto,VXI Manual,Manual,"13,818 km",2nd Owner,Petrol,"?3,91,299",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"24,539 km",1st Owner,Petrol,"?6,71,599",,,,,,
2018 Jeep Compass,2.0 LIMITED Manual,Manual,"55,714 km",1st Owner,Diesel,"?12,61,299",,,,,,
2021 Renault TRIBER,1.0 RXZ Manual,Manual,"1,599 km",1st Owner,Petrol,"?7,86,899",,,,,,
2017 Hyundai Grand i10,SPORTZ (O) 1.2 AT VTVT Automatic,Automatic,"16,636 km",1st Owner,Petrol,"?5,86,499",,,,,,
2018 Ford Figo Aspire,1.2 TITANIUM PETROL Manual,Manual,"33,815 km",1st Owner,Petrol,"?5,68,299",,,,,,
2018 Hyundai Elite i20,Magna Executive 1.2 Manual,Manual,"15,702 km",1st Owner,Petrol,"?5,81,799",,,,,,
2018 Tata TIGOR,XZ 1.2 REVOTRON OPT Manual,Manual,"34,014 km",1st Owner,Petrol,"?5,34,499",,,,,,
2019 Renault Kwid,RXL Manual,Manual,"35,525 km",2nd Owner,Petrol,"?3,50,499",,,,,,
2022 Maruti S PRESSO,VXI AGS Automatic,Automatic,244 km,1st Owner,Petrol,"?5,67,399",,,,,,
2021 Maruti Ciaz,ALPHA 1.5 MT VTVT SHVS Manual,Manual,"4,708 km",1st Owner,Petrol,"?11,33,599",,,,,,
2020 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"4,260 km",1st Owner,Petrol,"?7,25,599",,,,,,
2019 Hyundai Creta,1.6 VTVT SX AUTO Automatic,Automatic,"26,097 km",2nd Owner,Petrol,"?13,53,699",,,,,,
2013 Hyundai i20,SPORTZ 1.4 CRDI Manual,Manual,"65,005 km",1st Owner,Diesel,"?3,36,499",,,,,,
2017 Honda WR-V,1.2 i-VTEC VX MT Manual,Manual,"51,606 km",2nd Owner,Petrol,"?7,15,999",,,,,,
2020 Tata ALTROZ,XZ 1.2 Manual,Manual,"13,937 km",1st Owner,Petrol,"?8,27,999",,,,,,
2016 Honda Amaze,1.2 SAT I VTEC Automatic,Automatic,"48,381 km",2nd Owner,Petrol,"?5,38,599",,,,,,
2020 Toyota YARIS,G CVT Automatic,Automatic,"44,823 km",1st Owner,Petrol,"?9,79,299",,,,,,
2022 Honda Amaze,1.2 VXMT I VTEC Manual,Manual,"3,031 km",1st Owner,Petrol,"?9,45,599",,,,,,
2018 Maruti Swift,VXI Manual,Manual,"11,917 km",1st Owner,Petrol,"?5,60,599",,,,,,
2021 Mahindra XUV500,W9 AT Automatic,Automatic,"20,809 km",1st Owner,Diesel,"?18,83,699",,,,,,
2020 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"36,411 km",1st Owner,Petrol,"?7,11,199",,,,,,
2019 Renault Kwid,RXL Manual,Manual,"5,660 km",1st Owner,Petrol,"?4,04,099",,,,,,
2014 Honda City,V MT PETROL Manual,Manual,"91,673 km",2nd Owner,Petrol,"?5,57,699",,,,,,
