Title,primefeatures,Price
Tata Hexa Varicor 400 XT - 2017,"16,000 kms / Diesel","₹11,50,000 "
Ford Endeavor New - 2011,"25,000 kms / Diesel","₹7,95,000 "
Honda BRV S - 2018,"27,000 kms / Petrol","₹7,50,000 "
Maruti Suzuki Ignis Delta 1.2 MT - 2017,"23,000 kms / Petrol","₹4,25,000 "
Toyota Land Cruiser Prado - 2021,"16,000 kms / Petrol","₹8,98,000 "
Maruti Suzuki S Presso - 2021,"3,000 kms / Petrol","₹4,85,000 "
Maruti Suzuki Ciaz ALPHA 1.4 VVT - 2019,"36,000 kms / Petrol","₹6,75,000 "
Toyota Corolla H5 1.8E - 2004,"1,06,000 kms / Petrol","₹99,000 "
Hyundai Verna 1.6 SX - 2013,"11,50,000 kms / Petrol","₹3,00,000 "
Honda City VX Petrol - 2017,"35,000 kms / Petrol","₹7,75,000 "
Hyundai Xcent S 1.2 - 2019,"30,000 kms / Petrol","₹4,35,000 "
Maruti Suzuki Alto LXi BS III - 2008,"26,000 kms / Petrol","₹89,999 "
Maruti Suzuki Ciaz - 2017,"48,000 kms / Petrol","₹5,25,000 "
Honda Jazz S AT - 2017,"68,000 kms / Petrol","₹5,50,000 "
Volvo XC60 Kinetic D4 - 2019,"50,000 kms / Diesel / 1st Owner","₹28,00,000 "
Tata Nexon XM - 2018,"42,200 kms / Petrol","₹5,20,000 "
Mercedes Benz M Class 350 CDI - 2012,"1,00,000 kms / Diesel","₹17,50,000 "
Hyundai Elantra 1.6 SX O AT - 2012,"61,000 kms / Diesel / 1st Owner","₹4,00,000 "
Toyota Corolla H1 1.8J - 2003,"75,000 kms / Petrol / 1st Owner","₹1,75,000 "
Hyundai Xcent E Plus CRDi - 2018,"2,15,000 kms / Diesel","₹3,85,000 "
Maruti Suzuki Swift Dzire Tour LDi - 2017,"1,00,000 kms / Diesel","₹3,20,000 "
Honda Brio S MT - 2013,"27,000 kms / Petrol","₹2,75,000 "
Nissan Terrano XV D THP Premium 110 PS - 2013,"35,000 kms / Diesel","₹4,25,000 "
Hyundai Xcent S - 2015,"65,000 kms / Petrol","₹3,25,000 "
Honda Amaze 1.2 EX i VTEC - 2014,"25,000 kms / Petrol","₹3,35,000 "
Hyundai Elantra 1.8 SX MT - 2013,"40,000 kms / Petrol","₹5,35,000 "
Honda City 1.5 V MT - 2015,"50,000 kms / Diesel","₹5,75,000 "
Audi A4 2.0 TDI Celebration Edition - 2012,"35,000 kms / Diesel","₹10,50,000 "
Skoda Octavia 1.8 TSI AT Style Plus - 2017,"53,500 kms / Petrol / 1st Owner","₹12,00,000 "
Toyota Corolla Altis 1.8 J - 2015,"44,000 kms / Petrol","₹7,00,000 "
Honda Amaze 1.2 SMT I VTEC - 2016,"45,000 kms / Petrol","₹3,75,000 "
Mahindra KUV100 K8 6 STR - 2016,"30,000 kms / Petrol","₹4,11,000 "
Mahindra Jeep Classic - 2022,13 kms / Diesel,"₹4,37,000 "
Honda Amaze 1.2 EX i VTEC - 2013,"46,000 kms / Petrol / 1st Owner","₹2,75,000 "
Maruti Suzuki Ciaz ZXI Plus AT - 2015,"43,000 kms / Petrol","₹6,75,000 "
Volkswagen Vento Comfortline Petrol - 2013,"50,000 kms / Petrol","₹3,75,000 "
Tata Venture CX - 2020,82 kms / Diesel,"₹4,75,000 "
Toyota Etios G - 2018,"37,000 kms / Petrol / 1st Owner","₹5,25,000 "
Hyundai Verna 1.6 CRDI SX O - 2015,"25,000 kms / Diesel","₹5,75,000 "
Mahindra TUV300 T4 Plus - 2016,"40,000 kms / Diesel","₹4,75,000 "
Maruti Suzuki Alto K10 VXi AMT Airbag - 2017,"42,000 kms / Petrol","₹2,71,000 "
Hyundai Verna 1.6 SX - 2012,"40,000 kms / Diesel","₹3,50,000 "
Tata Tiago XT 1.2 REVOTRON - 2020,"9,200 kms / Petrol / 1st Owner","₹5,15,000 "
Skoda Octavia 1.8 TSI AT Style Plus - 2017,"55,000 kms / Petrol / 1st Owner","₹12,50,000 "
Maruti Suzuki Swift Dzire Tour LXi - 2009,"70,000 kms / Petrol","₹2,35,000 "
Maruti Suzuki Swift Dzire - 2014,"28,340 kms / Petrol / 1st Owner","₹3,25,000 "
Mahindra Jeep Classic - 2022,16 kms / Diesel,"₹4,31,000 "
Jeep Compass Limited O 1.4 Petrol AT - 2021,"7,300 kms / Petrol / 1st Owner","₹23,68,000 "
Hyundai Grand i10 1.2 CRDI Sportz O - 2017,"71,000 kms / Diesel","₹4,45,000 "
Hyundai Grand i10 SPORTS 1.2 VTVT - 2019,"24,000 kms / Petrol","₹4,55,000 "
Honda City 1.5 V MT Sunroof - 2016,"42,000 kms / Petrol","₹6,99,000 "
Hyundai Creta 1.6 SX O CRDI - 2018,"76,000 kms / Diesel","₹10,50,000 "
Mahindra Scorpio VLX 2.2 mHawk BSIII - 2013,"86,000 kms / Diesel","₹4,75,000 "
Maruti Suzuki Wagon R LXI BS IV - 2016,"35,000 kms / Petrol","₹3,25,000 "
Hyundai Verna FLUIDIC 1.6 CRDI S o  - 2021,"3,000 kms / Diesel","₹1,15,00,003 "
Honda City 1.5 S AT - 2010,"6,600 kms / Petrol","₹2,55,000 "
Maruti Suzuki Vitara Brezza VDi O - 2017,"63,000 kms / Diesel","₹7,50,000 "
Ford Figo Diesel ZXI - 2012,"67,000 kms / Diesel","₹2,25,000 "
Maruti Suzuki Omni 5 STR BS III - 2011,"55,000 kms / Petrol","₹1,35,000 "
Mahindra Scorpio 2.6 SLX CRDe - 2010,"96,000 kms / Diesel","₹3,25,000 "
Hyundai i20 Active 1.2 SX - 2017,"44,000 kms / Petrol","₹5,25,000 "
Maruti Suzuki Alto LX BS IV - 2010,"65,000 kms / Petrol","₹1,21,000 "
Honda City V MT Exclusive - 2011,"67,000 kms / Petrol","₹3,25,000 "
Audi A4 - 2013,"92,000 kms / Diesel","₹7,50,000 "
